Player,O_POSSESSIONS,O_RAPM_2021-23,D_POSSESSIONS,D_RAPM_2021-23,TOTAL_POSSESSIONS,RAPM_2021-23
Anthony Edwards,10946,1.82,10900,0.87,21846,2.69
Luke Kennard,6501,1.69,6453,1.33,12954,3.02
Blake Griffin,3133,-1.06,3121,-0.06,6254,-1.12
Dakota Mathias,35,-0.41,33,0.01,68,-0.4
Ziaire Williams,3953,-0.82,3965,-0.26,7918,-1.08
Larry Nance Jr.,4820,1.49,4888,1.41,9708,2.9
Sandro Mamukelashvili,2156,-0.8,2140,-2.08,4296,-2.88
Landry Shamet,4589,-1.24,4592,2.04,9181,0.8
Malik Fitts,128,-0.36,127,0.0,255,-0.36
Ade Murkey,2,-0.03,3,0.03,5,0.0
Andrew Wiggins,7197,-1.02,7217,1.8,14414,0.78
Bol Bol,3227,-0.59,3242,0.15,6469,-0.43
Tyler Cook,396,-0.27,394,-0.64,790,-0.91
Deividas Sirvydis,59,-0.63,59,-0.02,118,-0.65
Moritz Wagner,4235,0.4,4221,-0.11,8456,0.29
Jae'Sean Tate,5568,-1.59,5545,0.82,11113,-0.77
Alperen Sengun,7451,1.08,7391,-1.92,14842,-0.83
Jake Layman,482,-0.16,480,-0.16,962,-0.32
Tyler Herro,8896,2.3,8847,0.63,17743,2.93
Grayson Allen,7801,-0.48,7785,1.31,15586,0.83
Jordan Clarkson,8327,2.02,8306,0.22,16633,2.24
Tim Hardaway Jr.,6672,1.34,6671,0.79,13343,2.13
Garrison Mathews,4933,-0.05,4903,-0.17,9836,-0.22
Abdel Nader,310,-0.99,310,0.51,620,-0.48
Tony Bradley,1189,0.41,1201,1.0,2390,1.41
Lonzo Ball,2466,-1.33,2461,1.34,4927,0.01
Keita Bates-Diop,4956,-0.8,4995,0.94,9951,0.13
Greg Monroe,399,0.08,393,-0.08,792,0.0
Anfernee Simons,7683,1.29,7683,-0.51,15366,0.78
Eugene Omoruyi,1309,0.66,1308,-0.22,2617,0.44
Tim Frazier,411,-1.44,412,0.07,823,-1.37
Furkan Korkmaz,3540,-1.19,3539,0.62,7079,-0.56
Norvel Pelle,36,-0.56,35,-0.04,71,-0.6
Saben Lee,1986,-2.08,1986,0.23,3972,-1.85
Hassani Gravett,330,-0.03,327,0.27,657,0.24
Isaiah Hartenstein,5722,1.85,5729,0.01,11451,1.86
Melvin Frazier Jr.,241,-0.87,237,-0.91,478,-1.78
Daniel Oturu,56,-0.17,57,-0.39,113,-0.56
Kelan Martin,881,-1.31,875,0.26,1756,-1.05
Jordan McLaughlin,3346,0.96,3346,1.24,6692,2.2
Brandon Ingram,6761,0.94,6762,1.04,13523,1.98
Kevon Looney,7479,3.18,7565,-0.36,15044,2.82
Theo Pinson,955,-0.96,975,-0.83,1930,-1.79
Jordan Poole,9792,-0.24,9729,0.39,19521,0.15
Elfrid Payton,1111,-1.74,1123,-0.24,2234,-1.98
Andre Drummond,4538,-0.08,4605,1.45,9143,1.37
Isaiah Joe,4081,2.58,4018,-0.78,8099,1.8
Jusuf Nurkic,5992,-0.4,5946,1.86,11938,1.46
Lonnie Walker IV,6019,-1.08,6054,-1.31,12073,-2.39
Max Strus,7643,-0.12,7610,-1.38,15253,-1.5
Hassan Whiteside,2325,2.26,2339,0.85,4664,3.11
RJ Nembhard,119,-0.81,116,0.48,235,-0.33
Myles Powell,104,-0.11,107,-0.45,211,-0.56
Kris Dunn,1898,0.32,1901,-0.98,3799,-0.65
Alfonzo McKinnie,397,0.08,400,-1.24,797,-1.15
Carsen Edwards,162,-0.14,161,-0.12,323,-0.26
Danilo Gallinari,3358,1.36,3351,-0.54,6709,0.82
Julius Randle,10481,1.28,10469,-0.43,20950,0.85
McKinley Wright IV,702,-1.15,712,-1.43,1414,-2.58
Derrick Favors,1299,-2.29,1321,1.35,2620,-0.94
Emanuel Terry,38,-0.51,37,-0.09,75,-0.6
Keljin Blevins,702,-1.12,710,-1.96,1412,-3.08
Damian Jones,3059,-1.65,3051,-0.68,6110,-2.33
Charles Bassey,1389,-0.37,1388,0.39,2777,0.02
Jrue Holiday,9079,4.65,9055,1.94,18134,6.59
Brandon Knight,137,-0.37,132,0.17,269,-0.2
Devonte' Graham,7055,-0.55,7007,-0.48,14062,-1.03
Austin Reaves,6752,1.73,6743,1.44,13495,3.17
Anthony Gill,2158,1.69,2191,0.2,4349,1.89
Wenyen Gabriel,2821,1.49,2859,-0.19,5680,1.3
Kevin Porter Jr.,8027,0.3,8005,0.49,16032,0.79
Rajon Rondo,1417,-2.76,1418,0.67,2835,-2.09
Ahmad Caver,2,0.04,2,0.01,4,0.05
Chuma Okeke,4646,-3.6,4637,0.14,9283,-3.46
Bruno Fernando,1130,-0.81,1134,-0.15,2264,-0.96
Tristan Thompson,1781,0.59,1789,-1.02,3570,-0.43
Bones Hyland,4773,1.84,4776,-2.3,9549,-0.45
Isaiah Livers,3150,0.89,3150,-0.91,6300,-0.02
Chris Silva,187,-0.16,193,-0.4,380,-0.56
Desmond Bane,8364,2.54,8350,1.14,16714,3.68
LeBron James,8323,3.11,8345,0.23,16668,3.34
Chimezie Metu,4055,-0.56,4083,1.21,8138,0.64
Svi Mykhailiuk,2402,-0.69,2387,0.17,4789,-0.51
Marcus Morris Sr.,6753,0.23,6737,-1.33,13490,-1.1
Rayjon Tucker,154,0.43,153,-0.29,307,0.14
Payton Pritchard,3266,-1.13,3255,0.09,6521,-1.03
Aleksej Pokusevski,3957,-1.49,3929,-0.06,7886,-1.55
Khem Birch,2275,0.38,2266,-0.44,4541,-0.06
Joe Ingles,4440,0.17,4413,0.49,8853,0.66
Willie Cauley-Stein,376,-0.54,373,0.93,749,0.39
Willy Hernangomez,2652,0.65,2675,-0.44,5327,0.21
Tre Jones,6455,0.62,6455,-1.31,12910,-0.69
Juwan Morgan,64,-0.02,62,-0.38,126,-0.4
Caris LeVert,7926,0.85,7908,-0.92,15834,-0.07
Ignas Brazdeikis,1075,-0.71,1071,-1.27,2146,-1.98
Jaylen Hoard,476,-0.56,479,-0.92,955,-1.48
Giannis Antetokounmpo,8806,3.44,8772,0.92,17578,4.36
Nerlens Noel,1515,-1.54,1544,-0.21,3059,-1.75
Javonte Smart,399,-0.76,403,-0.05,802,-0.81
Kelly Oubre Jr.,7243,-0.23,7268,-0.81,14511,-1.04
Daniel Theis,2209,-1.74,2218,1.6,4427,-0.13
Jemerrio Jones,30,-0.18,29,-0.16,59,-0.34
Isaac Bonga,140,-0.83,144,0.04,284,-0.78
Louis King,282,-0.07,279,-0.53,561,-0.6
Kyle Guy,379,-1.18,383,-0.13,762,-1.31
Cole Anthony,7303,0.88,7299,-0.47,14602,0.41
DeMarcus Cousins,1447,1.31,1450,-0.25,2897,1.06
KZ Okpala,964,-0.72,1004,1.17,1968,0.44
Jose Alvarado,4349,0.98,4372,2.26,8721,3.24
Malik Newman,12,-0.05,11,0.06,23,0.0
Steven Adams,6350,3.36,6334,0.6,12684,3.96
RJ Barrett,9720,-0.17,9755,-1.72,19475,-1.89
Herbert Jones,8560,1.74,8575,1.59,17135,3.33
Dwight Howard,1971,-0.22,1979,-1.13,3950,-1.35
Jahmi'us Ramsey,276,0.53,275,-1.09,551,-0.56
Bam Adebayo,8725,0.64,8676,2.24,17401,2.88
Chaundee Brown Jr.,211,-0.42,214,0.21,425,-0.21
Devontae Cacok,247,-0.18,240,0.41,487,0.23
Jared Harper,82,0.65,81,-0.41,163,0.24
Collin Sexton,2997,-0.37,3000,-1.27,5997,-1.64
Gabriel Lundberg,95,0.31,87,0.11,182,0.42
Matisse Thybulle,5721,-1.1,5804,2.73,11525,1.63
Montrezl Harrell,4658,0.73,4664,1.6,9322,2.33
Malik Monk,8024,1.25,7965,-0.36,15989,0.89
Derrick White,9160,1.67,9189,3.35,18349,5.01
Patty Mills,5973,0.3,5893,-0.79,11866,-0.49
Jae Crowder,4558,0.8,4576,2.39,9134,3.19
Rodney Hood,1431,-0.68,1433,0.28,2864,-0.4
Amir Coffey,4395,-0.13,4438,-0.84,8833,-0.97
Joe Johnson,3,-0.03,4,-0.12,7,-0.15
Rudy Gobert,8558,-0.76,8555,3.05,17113,2.29
Kevin Huerter,8934,2.94,8900,0.22,17834,3.16
Jarred Vanderbilt,7643,1.84,7717,-1.24,15360,0.6
Gabe York,164,0.42,161,-0.04,325,0.38
Sharife Cooper,78,-0.88,79,-0.07,157,-0.95
Thanasis Antetokounmpo,1370,-1.24,1384,-2.07,2754,-3.3
Charlie Brown Jr.,358,-1.01,376,0.6,734,-0.41
Mason Jones,105,0.0,105,0.34,210,0.34
Dalano Banton,1956,-1.24,1948,0.33,3904,-0.9
Malik Beasley,8465,-0.4,8415,-1.05,16880,-1.45
Kevin Durant,7582,3.28,7596,2.64,15178,5.92
Thomas Bryant,3074,-0.53,3073,-1.13,6147,-1.66
Kyle Kuzma,8830,-0.4,8850,0.16,17680,-0.24
Dylan Windler,908,-1.54,913,1.05,1821,-0.49
Jalen Brunson,9643,3.27,9610,-1.03,19253,2.24
Lou Williams,1598,-0.37,1591,-0.16,3189,-0.53
Jarron Cumberland,24,0.26,24,0.0,48,0.26
Jordan Goodwin,2219,-0.65,2227,-0.16,4446,-0.81
Ty Jerome,3287,-1.43,3234,0.43,6521,-1.0
Tyrell Terry,8,0.06,8,-0.11,16,-0.05
Mychal Mulder,479,-0.37,468,-0.32,947,-0.69
Nate Hinton,5,0.06,6,0.08,11,0.14
Jaylen Nowell,4679,1.54,4641,-0.95,9320,0.59
Armoni Brooks,1716,-0.2,1689,0.17,3405,-0.03
Chris Paul,8087,1.02,8074,1.58,16161,2.6
Brodric Thomas,128,-0.02,125,0.03,253,0.0
Christian Wood,7678,0.48,7639,-2.19,15317,-1.71
Nicolas Batum,6437,-0.1,6423,1.1,12860,1.0
Taj Gibson,2757,-0.28,2776,0.88,5533,0.6
Terry Taylor,1974,0.74,1966,-1.61,3940,-0.87
Wesley Matthews,3735,0.72,3795,0.76,7530,1.48
Damyean Dotson,36,0.08,35,-0.01,71,0.07
Fred VanVleet,9952,1.53,9885,1.12,19837,2.65
Al Horford,7883,1.03,7851,0.53,15734,1.56
Aaron Holiday,3788,-0.46,3795,0.75,7583,0.28
Harrison Barnes,10784,1.31,10794,-0.9,21578,0.41
Hamidou Diallo,4661,-0.93,4657,1.93,9318,0.99
Santi Aldama,4212,0.04,4214,-0.05,8426,-0.01
P.J. Washington,8508,0.73,8498,-0.35,17006,0.38
CJ Miles,3,-0.03,4,-0.12,7,-0.15
Trey Murphy III,6733,-0.19,6717,-0.84,13450,-1.03
P.J. Tucker,7624,1.26,7637,0.92,15261,2.18
Isaiah Stewart,6554,-1.85,6547,0.58,13101,-1.27
Kenrich Williams,4577,0.26,4597,3.47,9174,3.73
Kira Lewis Jr.,1196,-1.29,1186,0.68,2382,-0.61
Rui Hachimura,4892,-0.99,4914,0.09,9806,-0.9
Cory Joseph,5672,-0.4,5636,0.18,11308,-0.22
Chris Chiozza,721,-1.09,722,-0.26,1443,-1.35
Tony Snell,1640,-1.34,1631,-0.55,3271,-1.89
Danuel House Jr.,3101,-0.04,3111,-0.04,6212,-0.08
Danny Green,2963,-0.48,2961,0.18,5924,-0.3
Andre Iguodala,1441,-0.53,1454,2.61,2895,2.08
Moses Moody,2930,-0.44,2930,-0.25,5860,-0.69
Alec Burks,6844,1.9,6838,1.34,13682,3.24
Joe Wieskamp,515,-0.53,510,0.74,1025,0.2
Mac McClung,141,0.15,142,0.37,283,0.52
Usman Garuba,2471,-0.21,2485,-1.13,4956,-1.34
Bogdan Bogdanovic,6783,2.68,6778,-0.49,13561,2.19
Stephen Curry,8666,3.38,8588,1.63,17254,5.01
Brandon Goodwin,934,-0.4,938,-1.26,1872,-1.66
Quentin Grimes,5722,0.52,5771,0.04,11493,0.56
Tyrone Wallace,147,0.0,156,-0.46,303,-0.46
Markus Howard,358,0.31,354,-0.56,712,-0.25
John Collins,7740,-0.39,7740,0.01,15480,-0.38
Goran Dragic,2823,0.01,2803,-1.3,5626,-1.29
Frank Kaminsky,864,-0.5,854,0.54,1718,0.04
Tremont Waters,108,-0.03,108,-0.29,216,-0.31
Raul Neto,3676,0.04,3692,-0.27,7368,-0.23
Jaden McDaniels,8688,-0.3,8676,0.53,17364,0.23
D.J. Wilson,120,-0.08,119,-0.02,239,-0.1
Torrey Craig,7050,-1.13,7104,-2.4,14154,-3.53
Lindy Waters III,2085,1.14,2044,0.44,4129,1.57
Jevon Carter,5512,-0.97,5596,0.87,11108,-0.09
Dennis Schroder,7741,-0.71,7729,1.13,15470,0.41
Darius Garland,9635,3.63,9551,1.95,19186,5.58
Cade Cunningham,5050,-0.06,5028,0.31,10078,0.25
Kevin Love,5870,-0.57,5805,0.4,11675,-0.16
Stanley Johnson,3177,1.74,3223,-1.92,6400,-0.17
Evan Fournier,5624,-1.07,5604,-0.03,11228,-1.1
Keifer Sykes,1114,-0.47,1092,-0.14,2206,-0.61
Chris Duarte,4946,-1.43,4923,0.97,9869,-0.46
Gabe Vincent,6601,-0.48,6615,0.53,13216,0.05
Alex Len,1619,-1.92,1637,1.09,3256,-0.82
Kai Jones,1228,-0.07,1240,0.27,2468,0.2
David Johnson,4,-0.04,4,-0.01,8,-0.05
Ricky Rubio,3088,-1.16,3080,3.17,6168,2.0
Troy Brown Jr.,5961,0.52,5978,-1.21,11939,-0.69
Carmelo Anthony,3717,-0.24,3696,-0.52,7413,-0.76
T.J. McConnell,4497,0.05,4496,0.18,8993,0.23
Rudy Gay,3753,0.7,3769,1.8,7522,2.5
Deni Avdija,7944,0.78,8000,0.52,15944,1.3
Mike Conley,8175,2.23,8144,0.16,16319,2.39
Terry Rozier,9507,0.75,9485,-0.24,18992,0.51
Nickeil Alexander-Walker,4762,-0.91,4750,-0.4,9512,-1.31
JaVale McGee,3123,-1.1,3119,0.25,6242,-0.85
Neemias Queta,306,-0.61,307,-0.19,613,-0.8
Carlik Jones,160,-0.03,169,0.2,329,0.17
Scottie Lewis,14,-0.02,15,-0.05,29,-0.07
Sam Merrill,234,-0.52,231,-0.13,465,-0.65
George King,39,-0.21,42,-0.42,81,-0.63
Josh Richardson,6341,-0.48,6363,0.35,12704,-0.13
Cameron Johnson,5925,0.48,5966,1.64,11891,2.12
Jakob Poeltl,7899,2.39,7909,-0.15,15808,2.24
Sam Hauser,2969,0.93,2943,0.32,5912,1.25
Damion Lee,5586,-0.77,5535,0.67,11121,-0.09
Justin Holiday,5628,-1.83,5631,-0.94,11259,-2.77
Ivica Zubac,8056,0.35,8050,-1.06,16106,-0.71
Tobias Harris,9791,0.61,9768,0.11,19559,0.72
Rob Edwards,19,-0.29,23,0.07,42,-0.21
Brad Wanamaker,628,-0.49,637,0.09,1265,-0.4
Tyrese Maxey,9198,1.82,9163,-0.53,18361,1.29
Royce O'Neale,9581,0.35,9622,0.8,19203,1.14
Khris Middleton,6171,0.99,6110,0.23,12281,1.22
Isaiah Thomas,685,-0.33,671,0.23,1356,-0.1
Anthony Lamb,2482,0.78,2473,-0.31,4955,0.47
Zylan Cheatham,11,-0.3,11,-0.07,22,-0.37
JaMychal Green,3841,-0.99,3877,-1.06,7718,-2.04
Domantas Sabonis,9898,1.92,9834,0.63,19732,2.54
Kessler Edwards,2777,1.23,2811,-1.24,5588,-0.01
Naji Marshall,5119,-0.17,5178,0.16,10297,-0.01
R.J. Hampton,4361,-2.69,4366,-1.93,8727,-4.62
Kyle Lowry,7644,0.51,7629,1.64,15273,2.15
Robert Woodard II,86,0.16,82,0.21,168,0.37
Justise Winslow,3127,0.22,3150,1.77,6277,1.99
David Roddy,2569,-0.29,2602,-1.84,5171,-2.13
Ryan Rollins,127,-1.02,128,0.01,255,-1.01
Lester Quinones,39,0.04,40,0.13,79,0.17
Tari Eason,3624,0.49,3632,0.76,7256,1.25
Jaylin Williams,1889,-0.07,1894,-1.18,3783,-1.25
Darius Days,51,0.05,51,0.06,102,0.11
Dominick Barlow,844,-0.39,849,-0.67,1693,-1.06
Jalen Williams,4709,0.68,4727,-0.3,9436,0.38
Noah Vonleh,340,0.1,343,-0.72,683,-0.62
Jacob Gilyard,85,-0.13,87,-0.08,172,-0.21
Kawhi Leonard,3498,3.39,3497,0.9,6995,4.29
Mfiondu Kabengele,70,-0.04,67,-0.27,137,-0.31
Meyers Leonard,234,0.22,234,-0.81,468,-0.59
Zion Williamson,1981,1.11,1981,1.3,3962,2.41
Tyler Dorsey,14,-0.08,14,0.07,28,0.0
Christian Koloko,1627,0.29,1621,1.94,3248,2.23
MarJon Beauchamp,1431,-0.75,1450,-0.82,2881,-1.56
Matthew Dellavedova,442,-1.12,453,0.08,895,-1.04
TyTy Washington Jr.,885,-0.74,881,0.5,1766,-0.24
James Wiseman,1777,-0.71,1788,-2.88,3565,-3.59
Kendall Brown,95,-0.1,94,0.36,189,0.26
Christian Braun,2357,-0.87,2384,0.21,4741,-0.66
Jalen Duren,3377,0.29,3374,-0.77,6751,-0.48
Jaden Hardy,1410,0.86,1393,-1.52,2803,-0.66
Andrew Nembhard,4296,0.16,4308,-1.58,8604,-1.42
Tyrese Martin,126,0.14,126,-0.08,252,0.06
Trevor Keels,16,-0.29,18,-0.19,34,-0.48
Isaiah Mobley,164,0.0,162,0.7,326,0.7
Chance Comanche,42,-0.1,43,-0.64,85,-0.74
Patrick Baldwin,462,-0.72,461,-0.48,923,-1.2
JD Davison,131,-0.21,130,-0.18,261,-0.39
Moussa Diabate,399,0.12,398,-0.53,797,-0.41
Orlando Robinson,830,0.45,838,0.69,1668,1.13
Johnny Davis,867,-1.98,858,0.58,1725,-1.4
Luka Samanic,347,0.24,349,0.47,696,0.71
Ben Simmons,2224,0.59,2228,-0.33,4452,0.25
Jason Preston,256,0.17,253,-0.29,509,-0.11
Ochai Agbaji,2528,1.3,2540,-0.68,5068,0.62
Xavier Cooks,276,0.39,276,0.13,552,0.52
Jake LaRavia,844,-0.6,853,-0.78,1697,-1.38
Kennedy Chandler,575,-0.74,570,-0.32,1145,-1.06
Walker Kessler,3476,1.41,3508,0.5,6984,1.91
Jack White,119,-0.17,128,0.06,247,-0.11
Dereon Seabron,21,0.15,22,0.15,43,0.3
Josh Minott,211,0.55,208,-0.01,419,0.54
John Butler Jr.,452,-0.56,454,-0.53,906,-1.09
Michael Foster Jr.,2,-0.06,1,-0.02,3,-0.08
Kendrick Nunn,1985,0.05,1988,-0.84,3973,-0.78
Scotty Pippen Jr.,64,-0.27,61,0.23,125,-0.04
Kenneth Lofton Jr.,352,-0.46,349,-1.0,701,-1.46
Max Christie,1065,-0.9,1059,-0.38,2124,-1.28
Stanley Umude,4,0.07,4,0.02,8,0.09
Simone Fontecchio,1624,-1.38,1621,-2.01,3245,-3.38
Ousmane Dieng,1170,0.34,1174,0.46,2344,0.8
Paolo Banchero,4935,1.23,4929,-2.02,9864,-0.79
Donovan Williams,8,0.09,9,0.12,17,0.21
Johnny Juzang,491,-1.24,489,-0.46,980,-1.7
Deonte Burton,14,0.21,14,-0.06,28,0.15
Ron Harper Jr.,94,0.24,91,0.1,185,0.34
RaiQuan Gray,72,-0.02,72,-0.33,144,-0.35
Bennedict Mathurin,4639,0.06,4598,-0.76,9237,-0.7
T.J. Warren,1422,0.1,1414,0.7,2836,0.8
Buddy Boeheim,179,-0.09,180,0.36,359,0.27
Nikola Jovic,408,-0.31,410,-0.02,818,-0.33
Alondes Williams,12,-0.01,11,-0.05,23,-0.06
Jamaree Bouyea,132,-0.02,133,-0.47,265,-0.49
Bryce McGowens,1617,-0.98,1633,-0.39,3250,-1.37
Dalen Terry,432,-0.57,432,0.55,864,-0.01
Blake Wesley,1407,-1.31,1399,-1.16,2806,-2.46
Justin Minaya,191,0.0,188,-0.29,379,-0.28
Jeenathan Williams,270,0.21,278,-0.24,548,-0.03
Jarrell Brantley,80,0.0,78,0.37,158,0.37
Keon Ellis,140,-0.27,137,-0.4,277,-0.67
Chima Moneke,16,-0.15,17,-0.08,33,-0.23
Edmond Sumner,1512,0.42,1525,0.04,3037,0.46
Quenton Jackson,286,-0.29,283,-0.19,569,-0.48
Jordan Hall,171,-0.61,169,0.04,340,-0.56
AJ Green,709,0.08,708,-0.77,1417,-0.69
Jeremy Sochan,3024,0.44,3025,-1.09,6049,-0.65
Jamal Cain,489,0.07,497,0.81,986,0.88
Jaden Ivey,4692,-1.06,4689,-2.56,9381,-3.62
Dario Saric,1610,0.64,1599,0.07,3209,0.71
Cole Swider,87,0.2,85,-0.06,172,0.14
Keegan Murray,4912,1.88,4895,-1.86,9807,0.01
Jamal Murray,4282,0.92,4256,-1.36,8538,-0.44
Wendell Moore Jr.,321,-0.62,327,-0.52,648,-1.14
Jonathan Isaac,246,-0.39,248,0.26,494,-0.13
John Wall,1555,-1.65,1567,0.01,3122,-1.64
Peyton Watson,369,-0.29,368,-0.27,737,-0.56
Vince Williams Jr.,215,-0.97,212,0.13,427,-0.84
Dyson Daniels,2146,-1.38,2172,1.17,4318,-0.2
Kobi Simmons,58,-0.37,56,-0.16,114,-0.53
A.J. Lawson,225,-0.58,228,-0.5,453,-1.08
Jabari Smith Jr.,4986,-0.2,4956,-1.84,9942,-2.04
Trevor Hudgins,54,0.01,55,0.17,109,0.18
Dru Smith,319,-0.59,316,0.05,635,-0.53
AJ Griffin,2888,0.95,2896,0.0,5784,0.95
Jabari Walker,1259,-0.63,1263,-0.14,2522,-0.77
Mark Williams,1717,-0.76,1717,0.48,3434,-0.28
Michael Carter-Williams,86,-0.12,86,-0.51,172,-0.63
Malaki Branham,3253,0.07,3268,-2.25,6521,-2.18
Caleb Houstan,1637,0.17,1640,-0.74,3277,-0.56
Julian Champagnie,672,0.26,677,-0.83,1349,-0.56
Shaedon Sharpe,3636,0.36,3646,-2.5,7282,-2.14
Jared Rhoden,397,0.85,392,0.24,789,1.08
Kevon Harris,925,0.55,935,0.52,1860,1.07
